LRN,Name,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR
100000000001,ALYSSA MARIE SANTOS,1,0,2,1,0,1,0,2,0,1,0
100000000002,BRIAN JOSEPH REYES,0,1,0,2,1,0,1,0,1,0,1
100000000003,CARLA NICOLE CRUZ,2,1,0,0,1,2,0,1,0,0,1
100000000004,DANIEL MIGUEL GARCIA,0,0,1,1,0,0,2,0,1,1,0
100000000005,ELENA GRACE TORRES,1,2,0,1,0,1,1,0,0,1,2
100000000006,FRANCIS ANDREW LIM,0,1,1,0,2,0,1,1,0,2,0
100000000007,GABRIELA JOY FLORES,1,0,0,1,1,0,0,1,2,0,1
100000000008,HENRY PAOLO AQUINO,2,0,1,0,0,1,2,0,1,0,0
100000000009,ISABELLA MAE NAVARRO,0,1,2,1,0,0,1,2,0,1,0
100000000010,JOSHUA MARK DOMINGUEZ,1,0,1,0,2,1,0,0,1,0,2
