LRN,Name,Effective Communication /Mabisang Komunikasyon T1,Effective Communication /Mabisang Komunikasyon T2,Effective Communication /Mabisang Komunikasyon T3,General Mathematics T1,General Mathematics T2,General Mathematics T3,General Science T1,General Science T2,General Science T3,Life and Career Skills T1,Life and Career Skills T2,Life and Career Skills T3,Pag-Aaral ng Kasaysayan at Lipunang Pilipino T1,Pag-Aaral ng Kasaysayan at Lipunang Pilipino T2,Pag-Aaral ng Kasaysayan at Lipunang Pilipino T3,Computer Systems Servicing T1,Computer Systems Servicing T2,Computer Systems Servicing T3
100000000001,ALYSSA MARIE SANTOS,82,86,90,84,88,92,86,90,94,88,92,96,90,94,98,92,96,83
100000000002,BRIAN JOSEPH REYES,85,89,93,87,91,95,89,93,97,91,95,82,93,97,84,95,82,86
100000000003,CARLA NICOLE CRUZ,88,92,96,90,94,98,92,96,83,94,98,85,96,83,87,98,85,89
100000000004,DANIEL MIGUEL GARCIA,91,95,82,93,97,84,95,82,86,97,84,88,82,86,90,84,88,92
100000000005,ELENA GRACE TORRES,94,98,85,96,83,87,98,85,89,83,87,91,85,89,93,87,91,95
100000000006,FRANCIS ANDREW LIM,97,84,88,82,86,90,84,88,92,86,90,94,88,92,96,90,94,98
100000000007,GABRIELA JOY FLORES,83,87,91,85,89,93,87,91,95,89,93,97,91,95,82,93,97,84
100000000008,HENRY PAOLO AQUINO,86,90,94,88,92,96,90,94,98,92,96,83,94,98,85,96,83,87
100000000009,ISABELLA MAE NAVARRO,89,93,97,91,95,82,93,97,84,95,82,86,97,84,88,82,86,90
100000000010,JOSHUA MARK DOMINGUEZ,92,96,83,94,98,85,96,83,87,98,85,89,83,87,91,85,89,93
