LRN,Name,Advanced Mathematics T1,Advanced Mathematics T2,Advanced Mathematics T3,Physics 1 T1,Physics 1 T2,Physics 1 T3,Chemistry 1 T1,Chemistry 1 T2,Chemistry 1 T3,Biology 1 T1,Biology 1 T2,Biology 1 T3,Pre-Calculus T1,Pre-Calculus T2,Pre-Calculus T3,Research 1 T1,Research 1 T2,Research 1 T3,Entrepreneurship T1,Entrepreneurship T2,Entrepreneurship T3,Philippine Governance (Philippine Politics and Governance) T1,Philippine Governance (Philippine Politics and Governance) T2,Philippine Governance (Philippine Politics and Governance) T3,Contemporary Literature 1 T1,Contemporary Literature 1 T2,Contemporary Literature 1 T3,Citizenship and Civic Engagement T1,Citizenship and Civic Engagement T2,Citizenship and Civic Engagement T3,Fundamentals of Data Analytics T1,Fundamentals of Data Analytics T2,Fundamentals of Data Analytics T3,Work Immersion for Academic Track T1,Work Immersion for Academic Track T2,Work Immersion for Academic Track T3
100000000001,ALYSSA MARIE SANTOS,82,,,84,,,86,,,88,,,,94,,,96,,,98,,,83,,,,89,,,91,,,93,,,95
100000000002,BRIAN JOSEPH REYES,85,,,87,,,89,,,91,,,,97,,,82,,,84,,,86,,,,92,,,94,,,96,,,98
100000000003,CARLA NICOLE CRUZ,88,,,90,,,92,,,94,,,,83,,,85,,,87,,,89,,,,95,,,97,,,82,,,84
100000000004,DANIEL MIGUEL GARCIA,91,,,93,,,95,,,97,,,,86,,,88,,,90,,,92,,,,98,,,83,,,85,,,87
100000000005,ELENA GRACE TORRES,94,,,96,,,98,,,83,,,,89,,,91,,,93,,,95,,,,84,,,86,,,88,,,90
100000000006,FRANCIS ANDREW LIM,97,,,82,,,84,,,86,,,,92,,,94,,,96,,,98,,,,87,,,89,,,91,,,93
100000000007,GABRIELA JOY FLORES,83,,,85,,,87,,,89,,,,95,,,97,,,82,,,84,,,,90,,,92,,,94,,,96
100000000008,HENRY PAOLO AQUINO,86,,,88,,,90,,,92,,,,98,,,83,,,85,,,87,,,,93,,,95,,,97,,,82
100000000009,ISABELLA MAE NAVARRO,89,,,91,,,93,,,95,,,,84,,,86,,,88,,,90,,,,96,,,98,,,83,,,85
100000000010,JOSHUA MARK DOMINGUEZ,92,,,94,,,96,,,98,,,,87,,,89,,,91,,,93,,,,82,,,84,,,86,,,88
