LRN,Name,Computer Programming (Java) T1,Computer Programming (Java) T2,Computer Programming (Java) T3,Electrical Installation and Maintenance T1,Electrical Installation and Maintenance T2,Electrical Installation and Maintenance T3,Work Immersion for Tech-Pro Track T1,Work Immersion for Tech-Pro Track T2,Work Immersion for Tech-Pro Track T3
100000000001,ALYSSA MARIE SANTOS,82,,,,88,,,,94
100000000002,BRIAN JOSEPH REYES,85,,,,91,,,,97
100000000003,CARLA NICOLE CRUZ,88,,,,94,,,,83
100000000004,DANIEL MIGUEL GARCIA,91,,,,97,,,,86
100000000005,ELENA GRACE TORRES,94,,,,83,,,,89
100000000006,FRANCIS ANDREW LIM,97,,,,86,,,,92
100000000007,GABRIELA JOY FLORES,83,,,,89,,,,95
100000000008,HENRY PAOLO AQUINO,86,,,,92,,,,98
100000000009,ISABELLA MAE NAVARRO,89,,,,95,,,,84
100000000010,JOSHUA MARK DOMINGUEZ,92,,,,98,,,,87
